"INCP_2016","Income","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",6,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",3,,
"01","Negative income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",17,,
"01","Negative income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",17,,
"02","Nil income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",875,,
"02","Nil income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",833,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",322,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",443,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",97,,
